GPUS,CONFIG,ID,DIRECTION,NAME,CYCLE
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8187,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nn,48526
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8188,backward,fusion_286,6780
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8189,backward,fusion_397,9244
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8190,backward,fusion_9,8568
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8191,backward,fusion_8,8294
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8192,backward,fusion_409,10859
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8193,backward,fusion_283,9235
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8194,backward,fusion_10,9876
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8195,backward,fusion_42,13797
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8196,backward,pad_4,6359
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8197,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nt,31980
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8198,backward,fusion_38,14794
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8199,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_tn,31811
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8200,backward,fusion_282,6835
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8201,backward,turing_fp16_s884gemm_fp16_128x64_ldg8_f2f_tn,80759
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8202,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nt,41815
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8203,backward,fusion_312,66469
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8204,backward,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn,243115
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8205,backward,fusion_307,76835
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8206,backward,fusion_304,26413
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8207,backward,fusion_302,33002
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8208,backward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,7410692
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8209,backward,fusion_300,675696
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8210,backward,fusion_407,753823
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8211,backward,fusion_3,6267
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8212,backward,fusion_3__1,869198
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8213,backward,fusion_408,2081463
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8214,backward,log_1030,10300
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8215,backward,fusion_7,645199
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8216,backward,fusion_2,18638
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8217,backward,fusion,9148
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8218,backward,fusion_37,2066089
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8219,backward,fusion_399,1710251
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8220,backward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_nn,4140034
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8221,backward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_nt,3981094
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8222,backward,fusion_293,52193
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8223,backward,fusion_19,124191
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8224,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nt,188905
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8225,backward,fusion_33,14113
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8226,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_tn,187161
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8227,backward,fusion_291,83814
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8228,backward,fusion_291__1,80120
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8229,backward,fusion_278,535381
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8230,backward,fusion_209,288643
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8231,backward,fusion_276,509851
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8232,backward,fusion_110,186954
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8233,backward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_nt,2578554
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8234,backward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,4680417
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8235,backward,fusion_275,2027035
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8236,backward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_tn,3129983
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8237,backward,fusion_271,886797
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8238,backward,fusion_269,532419
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8239,backward,fusion_97,1179616
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8240,backward,turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_tn,653661
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8241,backward,fusion_378,232507
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8242,backward,fusion_258,334515
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8243,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nn,1372611
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8244,backward,fusion_62,357040
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8245,backward,turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_nn,936768
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8246,backward,fusion_257,348122
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8247,backward,turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_tn,617618
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8248,backward,fusion_92,181368
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8249,backward,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nt,700750
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8250,backward,fusion_120,760985
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8251,backward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_nt,4563680
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8252,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nn,1278445
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8253,backward,fusion_265,5618537
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8254,backward,reduce_5,1911370
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8255,backward,fusion_264,4530788
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8256,backward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nn,1868543
