GPUS,CONFIG,ID,DIRECTION,NAME,CYCLE
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8095,forward,Fusion,6754
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8096,forward,Fusion(Dropout),6755
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8097,forward,Fusion(Dropout),8027
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8098,forward,Fusion(Biasadd),7650
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8099,forward,Fusion(Dropout),7810
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8100,forward,others,27958
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8101,forward,others,27697
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8102,forward,Fusion,27853
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8103,forward,Fusion,28204
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8104,forward,Fusion,28043
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8105,forward,Fusion,27926
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8106,forward,Fusion,28000
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8107,forward,Fusion,28055
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8108,forward,Fusion,28166
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8109,forward,Fusion,28198
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8110,forward,Fusion,28072
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8111,forward,Fusion,27989
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8112,forward,Fusion,27966
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8113,forward,Fusion,27904
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8114,forward,Fusion,28052
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8115,forward,Fusion,27843
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8116,forward,Fusion,28121
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8117,forward,Fusion,27967
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8118,forward,Fusion(Biasadd),14515
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8119,forward,others,131332
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8120,forward,others,134127
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8121,forward,others,133525
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8122,forward,others,132089
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8123,forward,GEMM,178945
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8124,forward,Fusion(LN),535081
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8125,forward,Fusion(LN),115476
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8126,forward,Fusion(LN+Dropout),299790
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8127,forward,GEMM,587826
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8128,forward,GEMM,583650
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8129,forward,GEMM,581091
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8130,forward,Fusion,232902
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8131,forward,Fusion,336222
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8132,forward,Fusion,233678
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8133,forward,Fusion,232404
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8134,forward,Fusion,335684
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8135,forward,Fusion(Dropout),1065418
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8136,forward,GEMM,1271018
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8137,forward,Fusion,1476134
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8138,forward,others,1241607
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8139,forward,Fusion(Softmax),1537319
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8140,forward,Fusion(Softmax),2269697
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8141,forward,others,1929752
