GPUS,CONFIG,ID,DIRECTION,NAME,CYCLE
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8187,backward,GEMM,48526
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8188,backward,Fusion(Loss+Biasadd),6780
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8189,backward,Fusion(Loss+Biasadd),9244
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8190,backward,Fusion(Loss+Biasadd),8568
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8191,backward,Fusion,8294
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8192,backward,Fusion(Loss),10859
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8193,backward,Fusion(Loss),9235
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8194,backward,Fusion(Loss+Biasadd),9876
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8195,backward,Fusion(Loss+Biasadd),13797
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8196,backward,others,6359
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8197,backward,dwFC,31980
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8198,backward,Fusion(Loss),14794
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8199,backward,dxFC,31811
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8200,backward,Fusion,6835
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8201,backward,dxFC,80759
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8202,backward,dwFC,41815
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8203,backward,Fusion(LN+Dropout),66469
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8204,backward,GEMM,243115
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8205,backward,Fusion(LN+Gelu),76835
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8206,backward,Fusion(LN),26413
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8207,backward,Fusion(LN),33002
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8208,backward,dxFC,7410692
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8209,backward,Fusion(Loss+Biasadd),675696
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8210,backward,Fusion(Biasadd),753823
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8211,backward,Fusion(Biasadd),6267
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8212,backward,others,869198
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8213,backward,Fusion(Loss+Biasadd),2081463
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8214,backward,others,10300
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8215,backward,Fusion(Loss+Biasadd),645199
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8216,backward,Fusion(Loss),18638
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8217,backward,Fusion,9148
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8218,backward,Fusion(Loss+Biasadd),2066089
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8219,backward,Fusion(Loss+Dropout),1710251
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8220,backward,GEMM,4140034
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8221,backward,dwFC,3981094
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8222,backward,Fusion(LN),52193
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8223,backward,Fusion(LN+Gelu+Biasadd),124191
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8224,backward,dwFC,188905
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8225,backward,Fusion(Loss+Biasadd),14113
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8226,backward,dxFC,187161
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8227,backward,Fusion(Dropout),83814
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8228,backward,others,80120
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8229,backward,Fusion(LN+Dropout),535381
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8230,backward,Fusion(Loss),288643
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8231,backward,Fusion(LN+Dropout),509851
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8232,backward,Fusion,186954
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8233,backward,dwFC,2578554
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8234,backward,dxFC,4680417
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8235,backward,Fusion(Dropout+Gelu),2027035
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8236,backward,dxFC,3129983
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8237,backward,Fusion(LN),886797
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8238,backward,Fusion(LN+Dropout),532419
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8239,backward,Fusion(LN+Dropout),1179616
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8240,backward,dxFC,653661
