GPUS,CONFIG,ID,DIRECTION,NAME,CYCLE
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8095,forward,fusion_281,6754
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8096,forward,fusion_195,6755
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8097,forward,fusion_279,8027
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8098,forward,fusion_196,7650
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8099,forward,fusion_280,7810
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8100,forward,convert_114,27958
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8101,forward,convert_231,27697
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8102,forward,fusion_148,27853
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8103,forward,fusion_305,28204
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8104,forward,fusion_141,28043
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8105,forward,fusion_308,27926
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8106,forward,fusion_139,28000
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8107,forward,fusion_307,28055
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8108,forward,fusion_136,28166
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8109,forward,fusion_306,28198
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8110,forward,fusion_175,28072
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8111,forward,fusion_301,27989
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8112,forward,fusion_168,27966
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8113,forward,fusion_304,27904
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8114,forward,fusion_166,28052
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8115,forward,fusion_303,27843
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8116,forward,fusion_163,28121
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8117,forward,fusion_302,27967
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8118,forward,fusion_216,14515
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8119,forward,convert_144,131332
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8120,forward,convert_146,134127
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8121,forward,convert_181,133525
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8122,forward,convert_183,132089
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8123,forward,turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_nn,178945
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8124,forward,fusion_277,535081
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8125,forward,fusion_274,115476
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8126,forward,fusion_272,299790
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8127,forward,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn,587826
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8128,forward,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn,583650
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8129,forward,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn,581091
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8130,forward,fusion_270,232902
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8131,forward,fusion_309,336222
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8132,forward,fusion_143,233678
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8133,forward,fusion_310,232404
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8134,forward,fusion_147,335684
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8135,forward,fusion_299,1065418
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8136,forward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nn,1271018
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8137,forward,fusion_267,1476134
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8138,forward,reduce_47,1241607
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8139,forward,fusion_266,1537319
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8140,forward,fusion_265,2269697
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8141,forward,reduce_48,1929752
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8142,forward,fusion_263,2909119
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8143,forward,turing_fp16_s884gemm_fp16_64x64_ldg8_f2f_nn,1916113
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8144,forward,fusion_261,220542
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8145,forward,turing_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn,584038
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8146,forward,fusion_259,492257
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8147,forward,fusion_256,116054
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8148,forward,fusion_253,197137
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8149,forward,turing_fp16_s1688gemm_fp16_128x256_ldg8_f2f_nn,2547974
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8150,forward,fusion_251,869846
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8151,forward,fusion_250,1585660
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8152,forward,turing_fp16_s1688gemm_fp16_128x128_ldg8_f2f_nn,2455441
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8153,forward,fusion_311,370405
